"file","obj_fun","fhist","scenario","optimised","stat_yrs","stock","lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","solution","fitness","iter","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","risk_Blim_first10","risk_Bmsy_first10","risk_halfBmsy_first10","risk_collapse_first10","SSB_first10","Fbar_first10","Catch_first10","SSB_rel_first10","Fbar_rel_first10","Catch_rel_first10","ICV_first10","risk_Blim_41to50","risk_Bmsy_41to50","risk_halfBmsy_41to50","risk_collapse_41to50","SSB_41to50","Fbar_41to50","Catch_41to50","SSB_rel_41to50","Fbar_rel_41to50","Catch_rel_41to50","ICV_41to50","risk_Blim_last10","risk_Bmsy_last10","risk_halfBmsy_last10","risk_collapse_last10","SSB_last10","Fbar_last10","Catch_last10","SSB_rel_last10","Fbar_rel_last10","Catch_rel_last10","ICV_last10","risk_Blim_firsthalf","risk_Bmsy_firsthalf","risk_halfBmsy_firsthalf","risk_collapse_firsthalf","SSB_firsthalf","Fbar_firsthalf","Catch_firsthalf","SSB_rel_firsthalf","Fbar_rel_firsthalf","Catch_rel_firsthalf","ICV_firsthalf","risk_Blim_lastfhalf","risk_Bmsy_lastfhalf","risk_halfBmsy_lastfhalf","risk_collapse_lastfhalf","SSB_lastfhalf","Fbar_lastfhalf","Catch_lastfhalf","SSB_rel_lastfhalf","Fbar_rel_lastfhalf","Catch_rel_lastfhalf","ICV_lastfhalf","risk_Blim_11to50","risk_Bmsy_11to50","risk_halfBmsy_11to50","risk_collapse_11to50","SSB_11to50","Fbar_11to50","Catch_11to50","SSB_rel_11to50","Fbar_rel_11to50","Catch_rel_11to50","ICV_11to50"
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","default","more","rjc2",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-5.91620114888517,1,0.07836,0.33028,0.0528,0.00772,384.774991979568,0.0283217514979407,15.0381885635016,1.33672128415367,0.473450297420753,0.685307395031659,0.265302609306404,0.2254,0.8968,0.1376,0.0042,199.033059101642,0.056112643368712,15.7576017596279,0.691447552198266,0.938026297346511,0.718091874445977,0.367502760556432,0.0662,0.2106,0.0536,0.01,477.162191361645,0.036742416893367,22.7581931784393,1.65767752707896,0.614217245970355,1.03711680545066,0.233626322659406,0.0662,0.2106,0.0536,0.01,477.162191361645,0.036742416893367,22.7581931784393,1.65767752707896,0.614217245970355,1.03711680545066,0.233626322659406,0.11208,0.498,0.07072,0.00648,288.529708898537,0.0256155184092507,10.6356298956423,1.00236192848993,0.428210621448618,0.484677778013332,0.30926269117879,0.04464,0.16256,0.03488,0.00896,520.469701819616,0.0312392843443114,20.0937118376539,1.80812927732148,0.52222223844811,0.915693353480139,0.231220018276668,0.0416,0.18865,0.0316,0.0086,447.896788514928,0.0243677603799129,14.8665249554074,1.55600853171812,0.407352045306459,0.677484488729615,0.241516302875468
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","default","more","rjc2",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-5.48084783886621,1,0.27624,0.53264,0.23664,0.01744,269.746539493572,0.051546418330905,17.976513250888,0.937108565223496,0.861693426394056,0.819210200463773,0.23716660455348,0.4568,0.6764,0.4036,8e-04,179.453328068784,0.0649617129997848,16.4315095541597,0.623426907002555,1.08595481260917,0.748802620837532,0.243285623007206,0.2006,0.4456,0.1732,0.0392,320.335479132251,0.0450447481433035,19.3397156750654,1.11285624573122,0.753006021087383,0.881332888862643,0.232804398683305,0.2006,0.4456,0.1732,0.0392,320.335479132251,0.0450447481433035,19.3397156750654,1.11285624573122,0.753006021087383,0.881332888862643,0.232804398683305,0.35096,0.60856,0.30304,0.00488,229.308556433045,0.0548463208020011,16.8069538687206,0.796625649826225,0.916857380731891,0.765912046225086,0.245667905815107,0.20152,0.45672,0.17024,0.03,310.05858542505,0.047845572518481,19.3387709312479,1.07715397079198,0.799826964825537,0.881289835809955,0.23089135575546,0.2311,0.4967,0.1949,0.0216,289.335402057466,0.0480268277578896,18.5244351154618,1.00516093366565,0.802856980360181,0.844179624414428,0.235286566941241
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","mult","more","rjc2",1,2,3,1,1,1,1,2,0.96,Inf,0,"1_2_3_1_1_1_1_2_0.96_Inf_0",-1.23925969792257,1,0.05164,0.2668,0.03224,0.00396,437.410094215379,0.0226720322620935,13.2584846214838,1.51957740245345,0.379004823144556,0.604204257690242,0.248546604106402,0.1912,0.8768,0.1096,0.0016,204.381169393,0.0496279377792438,14.432130201633,0.710027067513646,0.829622486577852,0.657688624628861,0.376261163436251,0.0204,0.1022,0.017,0.006,612.355299315507,0.0293728482713864,20.5272798975796,2.12734293839656,0.491021318056324,0.935451544199847,0.206281318155452,0.0204,0.1022,0.017,0.006,612.355299315507,0.0293728482713864,20.5272798975796,2.12734293839656,0.491021318056324,0.935451544199847,0.206281318155452,0.0884,0.45664,0.05288,0.00304,307.63552945863,0.0214208871839917,9.46984482501068,1.06873619273851,0.358089626237087,0.431551623453709,0.299009265938552,0.01488,0.07696,0.0116,0.00488,608.97318635064,0.0240580411159007,17.2735468395309,2.11559336402248,0.402174516731851,0.787175219779257,0.206701047918937,0.01675,0.1143,0.0129,0.00455,509.546063165538,0.0189227695745242,12.9430432174625,1.77018018864972,0.316328984234406,0.589829233333944,0.222092313262688
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","mult","more","rjc2",1,2,3,1,1,1,1,2,0.24,Inf,0,"1_2_3_1_1_1_1_2_0.24_Inf_0",-3.66095432230023,1,0.05264,0.12124,0.04228,0,814.460305081318,1.61329478598631e-09,1.67495998041701e-06,2.82946253679163,2.69691970254066e-08,7.63298356125003e-08,0.708479719824742,0.2548,0.5162,0.2076,0,278.091775509254,0.000723778561210779,0.260917009205812,0.966100196270144,0.0120992931915572,0.011890285531614,0.72968213840616,0,0,0,0,1074.76247001453,5.83594427405531e-15,7.45237942233855e-12,3.7337610266373,9.75585691613502e-14,3.39613425323428e-13,0.706959510680653,0,0,0,0,1074.76247001453,5.83594427405531e-15,7.45237942233855e-12,3.7337610266373,9.75585691613502e-14,3.39613425323428e-13,0.706959510680653,0.10528,0.24248,0.08456,0,505.687729536098,5.00067149206181e-06,0.00303925502669183,1.75677620764434,8.35954444905108e-05,0.000138502316045842,0.710062631246366,0,0,0,0,999.847401926276,6.1556378812806e-13,7.53775419160132e-10,3.47350355641505,1.02902837273982e-11,3.4350405087835e-11,0.707367433786745,0.0021,0.0225,0.00095,0,897.596136387241,7.17600173061914e-11,7.61246528076507e-08,3.11827921536709,1.19960100416124e-09,3.46908720375516e-09,0.703693119412204
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier-upper_constraint-lower_constraint--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","all_cap","more","rjc2",0,3,3,1,1.4,0.7,0.5,2,0.97,Inf,0.24,"0_3_3_1_1.4_0.7_0.5_2_0.97_Inf_0.24",-0.55192986954214,30,0.0506,0.37936,0.02784,0.00116,331.770301119729,0.0439139628447405,19.6773319808438,1.15258120252359,0.734102859820588,0.896718448769421,0.251000622523736,0.1484,0.8944,0.072,0,208.78696612144,0.0569543633585442,16.3989189991803,0.725332953767484,0.952097198984075,0.747317432096797,0.329216028197977,0.0184,0.1928,0.0134,0.002,405.373526077633,0.0447526222523526,22.9230063825637,1.4082812855186,0.74812259818308,1.04462753103496,0.225287270028994,0.0184,0.1928,0.0134,0.002,405.373526077633,0.0447526222523526,22.9230063825637,1.4082812855186,0.74812259818308,1.04462753103496,0.225287270028994,0.08176,0.56136,0.0428,0.00032,269.474723163727,0.0440939160796976,16.7240100108199,0.936164266136869,0.73711110995012,0.762132200071954,0.28623567597025,0.01944,0.19736,0.01288,0.002,397.91588296504,0.0437064013380488,22.3755807780423,1.38237318211786,0.73063308652343,1.01968072222059,0.220934792581158,0.02615,0.2506,0.0168,0.00145,368.093016223999,0.0417122138013458,20.3921132286059,1.2787675384087,0.697296564859738,0.929291845016776,0.23087679940226
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier-upper_constraint-lower_constraint--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","all_cap","more","rjc2",1,2,3,1,0.9,1.1,0.7,1,0.19,1.53,0.04,"1_2_3_1_0.9_1.1_0.7_1_0.19_1.53_0.04",-3.44273614742446,16,0.0516,0.11944,0.04116,0,817.167087967928,6.39024684393766e-11,6.06904190927679e-08,2.83886599172382,1.0682475866912e-09,2.76573157971893e-09,0.530000000000001,0.2502,0.51,0.202,0,281.09290397486,0.000369657879376681,0.134474166313475,0.976526217659465,0.00617951304839108,0.00612814104745362,0.539775835110451,0,0,0,0,1075.61147762651,1.9855973916591e-17,2.56595777710484e-14,3.73671050768206,3.31929215503225e-16,1.16933620865536e-15,0.530000000000001,0,0,0,0,1075.61147762651,1.9855973916591e-17,2.56595777710484e-14,3.73671050768206,3.31929215503225e-16,1.16933620865536e-15,0.530000000000001,0.1032,0.23888,0.08232,0,509.777281784894,9.03376071330124e-07,0.000557755427922249,1.77098344992248,1.51015967245224e-05,2.54175506418283e-05,0.537216262008115,0,0,0,0,1001.7877857048,5.12668997910849e-15,6.17553185114632e-12,3.48024451502786,8.57020758610001e-14,2.81426026011918e-13,0.53,0.00195,0.0218,0.00095,0,899.796621423395,1.42126827013307e-12,1.61197484984723e-09,3.125923774511,2.37591197443458e-11,7.34595314150078e-11,0.53
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","zero-fishing","more","smn",1,2,3,1,1,1,1,2,0,Inf,0,"1_2_3_1_1_1_1_2_0_Inf_0",-3.54681911195394,1,0.00588,0.0262,2e-04,0,919.919736053308,0,0,4.03737885410521,0,0,1,0.0294,0.131,0.001,0,429.010781539787,0,0,1.88285889484549,0,0,1,0,0,0,0,1146.04003969175,0,0,5.02978427450679,0,0,1,0,0,0,0,1146.04003969175,0,0,5.02978427450679,0,0,1,0.01176,0.0524,4e-04,0,674.598730265008,0,0,2.9607046591512,0,0,1,0,0,0,0,1092.32993161986,0,0,4.79405930190052,0,0,1,0,0,0,0,994.473103334432,0,0,4.36458151838821,0,0,1
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","zero-fishing","more","smn",1,2,3,1,1,1,1,2,0,Inf,0,"1_2_3_1_1_1_1_2_0_Inf_0",-3.79176648041963,1,0.02124,0.04012,0.00996,0,918.897982972176,0,0,4.0328945451789,0,0,1,0.106,0.195,0.0498,0,410.800199728104,0,0,1.80293559822955,0,0,1,0,0,0,0,1134.48961534391,0,0,4.97909133120938,0,0,1,0,0,0,0,1134.48961534391,0,0,4.97909133120938,0,0,1,0.04248,0.08024,0.01992,0,639.589187943405,0,0,2.80705344337497,0,0,1,0,0,0,0,1077.62295314348,0,0,4.72951275334721,0,0,1,5e-05,0.0014,0,0,990.702595469995,0,0,4.34803336953946,0,0,1
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","default","more","smn",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-6.5684515931814,1,0.1684,0.24688,0.11176,0.05152,422.826553637921,0.0296162218887543,26.401055435523,1.85571731935644,0.278622991622066,0.511704476323115,0.224438750148077,0.48,0.7056,0.2602,0.0274,166.995315696895,0.126172733484745,54.8574566799655,0.732915416318666,1.18700570912463,1.06324560438103,0.270481062917073,0.0776,0.0966,0.0714,0.0626,705.611454783281,0.018571333016062,23.7807110451933,3.09681448837983,0.174715072799668,0.46091703877864,0.1931772048991,0.0776,0.0966,0.0714,0.0626,705.611454783281,0.018571333016062,23.7807110451933,3.09681448837983,0.174715072799668,0.46091703877864,0.1931772048991,0.26048,0.39488,0.15416,0.04304,285.545263486827,0.0498913405705956,32.1559391099501,1.25321195264019,0.469366910405714,0.623245461649062,0.256648445757449,0.07632,0.09888,0.06936,0.06,620.287487339983,0.0187978587896959,22.2567734319778,2.72234140295407,0.176846178143437,0.431380124990326,0.197068191929676,0.0905,0.1322,0.07465,0.05755,499.185913495214,0.0215763192160231,21.5303279634032,2.1908461927987,0.202985331172297,0.417300180384243,0.214282002485121
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","default","more","smn",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-6.14350661509226,1,0.22868,0.32236,0.161,0.04964,364.274681847876,0.0464006330741255,34.3054479198445,1.59874262931706,0.436527091430918,0.664907177886322,0.209671163661522,0.3982,0.539,0.2706,0.0168,209.40539218627,0.0873729564847587,40.48946143272,0.919046378954375,0.821985822975342,0.784765545060663,0.224453058083858,0.1592,0.2082,0.127,0.0808,519.233858782376,0.032018726380276,32.7117182933988,2.27883338037433,0.301225232763006,0.634017557359874,0.195849571564095,0.1592,0.2082,0.127,0.0808,519.233858782376,0.032018726380276,32.7117182933988,2.27883338037433,0.301225232763006,0.634017557359874,0.195849571564095,0.30128,0.4272,0.2,0.0312,270.07695917256,0.0600893094994295,35.5751061927771,1.18532406818712,0.565307190097483,0.689515657015006,0.220174848187734,0.15608,0.21752,0.122,0.06808,468.117189214174,0.0345754670980637,32.541201271457,2.05449058967353,0.325278494866045,0.630712601479227,0.199090730711921,0.1863,0.2682,0.1336,0.05785,406.740769436171,0.0392353788447088,32.3392872516029,1.78511941560184,0.36911793382021,0.626799109912798,0.205517582037401
