"file","obj_fun","fhist","scenario","optimised","group","stock","lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","solution","fitness","iter","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness_improvement"
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"medium","mut",0,2,3,1,0.8,0.2,0.8,2,1.07,Inf,0,"0_2_3_1_0.8_0.2_0.8_2_1.07_Inf_0",NA,19,0.34676,0.44996,0.27984,0.17864,262.825836952452,0.115986390874465,66.2136059069157,1.13565190995457,0.568138768541874,0.790854098374036,0.216596293218301,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"medium","sbb",0,2,3,1,0.8,0.2,0.8,2,1.07,Inf,0,"0_2_3_1_0.8_0.2_0.8_2_1.07_Inf_0",NA,19,0.43708,0.56644,0.38404,0.24192,207.42945801806,0.121594956887675,51.4610696717454,0.80921317904762,0.555935542192399,0.686891472136459,0.255476289629514,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"medium","ple",0,2,3,1,0.8,0.2,0.8,2,1.07,Inf,0,"0_2_3_1_0.8_0.2_0.8_2_1.07_Inf_0",NA,19,0.35864,0.46572,0.28788,0.17684,256.661558879756,0.123440122754424,72.2431776791646,1.09671604473141,0.584559028512971,0.796177294029238,0.219677664816738,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"medium","syc2",0,2,3,1,0.8,0.2,0.8,2,1.07,Inf,0,"0_2_3_1_0.8_0.2_0.8_2_1.07_Inf_0",NA,19,0.2886,0.404,0.14904,0.00516,260.939871249626,0.111990232571308,113.07491747047,1.23060021034247,0.737763420235176,0.924298616317975,0.189041089413564,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"medium","arg",0,2,3,1,0.8,0.2,0.8,2,1.07,Inf,0,"0_2_3_1_0.8_0.2_0.8_2_1.07_Inf_0",NA,19,0.2968,0.42356,0.16048,0.00896,262.026987493932,0.114532731841613,106.720606479495,1.18874439457602,0.730714366312696,0.914157474711072,0.195440026497972,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"medium","tur",0,2,3,1,0.8,0.2,0.8,2,1.07,Inf,0,"0_2_3_1_0.8_0.2_0.8_2_1.07_Inf_0",NA,19,0.31856,0.47576,0.30108,0.17516,312.630152312018,0.137312318035855,59.9717978720591,1.06483639340036,0.605335365824766,0.799317007973775,0.230388562646506,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"medium","group",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-19.6368651050903,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"medium","had",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,19,0.09092,0.16356,0.08636,0.0198,727.214205057418,0.0291056279816655,19.0633341584081,2.34248302607411,0.19393444010691,0.43364174831656,0.262629442049451,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"medium","nep",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,19,0.08212,0.14264,0.06492,0.01908,765.397426283661,0.022627432812306,19.1102252284812,2.74463957608486,0.151659322025437,0.357107586896236,0.243129954887027,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"medium","mut",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,19,0.13852,0.1684,0.1122,0.073,772.506652090221,0.0219107366140943,23.4103978593482,3.33794677521596,0.107325858007342,0.279613364021587,0.242754614324932,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"medium","sbb",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,19,0.25732,0.3114,0.23232,0.16368,489.646392582519,0.054521933648168,38.7176936134454,1.91018343169176,0.249275804851611,0.516795584186424,0.289304080764655,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"medium","ple",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,19,0.156,0.19028,0.12784,0.0848,699.51447105097,0.0313534270231853,33.2666266794511,2.98902861523886,0.148476268754915,0.36662469262845,0.24784928385107,NA
