"scenario_name","fhist","stock","iter","lag_idx","range_idx_1","range_idx_2","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","fitness_improvement"
"rfb: PA - all","one-way","jnd",27,1,4,3,0.9,0.6,1.1,2,0.09,Inf,0.38,25
"rfb: PA - all","one-way","sar",10,0,4,4,1.6,1.1,0.6,4,0.1,4.11,0.27,18
"rfb: PA - all","one-way","her",10,0,2,1,0.6,1.3,0.8,1,0.38,1.14,0.26,20
"rfb: PA - all","one-way","san",16,1,2,3,0.8,1.3,1,1,0.22,1.53,0.09,26
"rfb: PA - all","random","ang3",38,1,2,5,0.7,0.5,0.8,1,0.19,Inf,0.18,38
"rfb: PA - all","random","rjc2",16,1,2,3,0.9,1.1,0.7,1,0.19,1.53,0.04,37
"rfb: PA - all","random","smn",30,1,4,5,1.2,0.7,0.9,3,0.72,Inf,0.22,42
"rfb: PA - all","random","wlf",44,1,4,4,1.6,1,1,2,0.64,Inf,0.15,49
"rfb: PA - all","random","meg",82,1,4,5,1.5,1.1,1.1,2,0.85,Inf,0.1,22
"rfb: PA - all","random","lin",30,1,3,5,1.5,1,1,2,0.63,Inf,0.17,34
"rfb: PA - all","random","rjc",41,0,4,4,1.4,1,1.1,2,0.65,Inf,0.18,34
"rfb: PA - all","random","syc",41,0,4,5,1.8,0.7,1.2,4,0.65,Inf,0.31,36
"rfb: PA - all","random","sdv",30,1,3,5,1.5,0.9,0.9,2,0.62,Inf,0.08,39
"rfb: PA - all","random","ang",36,1,3,5,1,1,1,2,0.66,Inf,0.07,36
"rfb: PA - all","random","ang2",10,1,2,3,1,1,1,2,0.7,Inf,0,39
"rfb: PA - all","random","pol",10,0,3,4,1.2,1,1.5,2,0.73,Inf,0,48
"rfb: PA - all","random","had",10,1,2,3,1,1,1,2,0.77,Inf,0,49
"rfb: PA - all","random","nep",29,1,3,3,1,0.8,1,3,0.8,Inf,0.19,52
"rfb: PA - all","random","mut",10,1,2,3,1,1,1,2,0.74,Inf,0,40
