"stock","multiplier","comp_b","idxB_lag","idxB_range_3","interval","upper_constraint","lower_constraint","sigmaL","sigmaB","sigmaR","sigmaR_rho","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","sensitivity","fhist","n_yrs","n_iter","sigmaL_rho","sigmaB_rho","steepness","SSB0_rel","n_iter_part","stat_metric"
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.83,0,0.0324,0.15552,0.0168,0,441.474088598577,0.0906620651299699,59.8441229676031,1.55376698327356,0.78444058489781,1.23938833430104,0.220473832349923,"rec_var","one-way",50,500,NA,NA,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.84,0,0.03248,0.15464,0.0168,0,444.276479426344,0.0906647737060373,60.2814953261785,1.5636299909899,0.784464020465835,1.24844643678602,0.220551737473487,"rec_var","one-way",50,500,NA,NA,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.85,0,0.03248,0.15404,0.0168,0,447.285671517256,0.0906835797773333,60.7037802275041,1.57422083524993,0.784626737314893,1.25719207385948,0.220946429821915,"rec_var","one-way",50,500,NA,NA,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.86,0,0.03248,0.15328,0.0168,0,450.094446003007,0.0906718832099868,61.1238599795662,1.58410631023505,0.784525534434533,1.26589204168195,0.220860181079532,"rec_var","one-way",50,500,NA,NA,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.87,0,0.03248,0.15244,0.0168,0,453.187741581857,0.0906707488157069,61.5877318106513,1.59499315651675,0.784515719249856,1.27549895557003,0.220847015943102,"rec_var","one-way",50,500,NA,NA,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.88,0,0.03248,0.1518,0.01684,0,456.154521573582,0.0906623971215254,62.0295449864515,1.60543473149663,0.784443457407383,1.28464902860768,0.221004881500812,"rec_var","one-way",50,500,NA,NA,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.89,0,0.03252,0.15112,0.0168,0,459.314138117227,0.0906633636310702,62.4847820102444,1.61655499425295,0.78445181999334,1.29407711324911,0.221040591056599,"rec_var","one-way",50,500,NA,NA,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.9,0,0.03256,0.15008,0.0168,0,462.536780926882,0.0906336996581381,62.9379940380741,1.62789707779951,0.784195156699338,1.30346325966421,0.221329817431714,"rec_var","one-way",50,500,NA,NA,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.91,0,0.03256,0.14952,0.0168,0,465.831296237722,0.0906098880349531,63.4455309199206,1.63949211643954,0.78398913002664,1.31397448882749,0.221414475602012,"rec_var","one-way",50,500,NA,NA,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.92,0,0.03256,0.14896,0.01684,0,469.144545742534,0.0906259226963299,63.9538425046837,1.65115309002978,0.784127867646736,1.32450176230239,0.221344832089036,"rec_var","one-way",50,500,NA,NA,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.93,0,0.03264,0.1482,0.01684,0,472.382655628527,0.0906238092012432,64.4325445400793,1.66254960991396,0.784109580932005,1.33441581382248,0.221299624615641,"rec_var","one-way",50,500,NA,NA,NA,NA,NA,NA
