"parameters","objective","scenario","catch_rule","stat_yrs","fhist","stock","idxB_lag","idxB_range_3","exp_b","comp_b_multiplier","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness","iter","risk_penalty"
"mult","MSY","GA","hr","all","random","rjc2",1,1,1,1.4,1,0.68,Inf,0,0.20016,0.50396,0.15484,0,286.355333313725,0.0624758930512169,21.8214353620525,0.994808074459526,1.0443997486835,0.99442768393761,0.201359922623813,-0.412284164226678,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","rjc2",1,1,1,1.4,1,1.4,1.2,0.7,0.0066,0.49844,0.0014,0,288.085607022451,0.0658850462298564,24.8885313403515,1.00081910361183,1.10139003004011,1.13419874388439,0.2,-0.34161784749622,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","rjc2",1,1,1,1.4,1,0.72,1.2,0.7,0.193,0.49832,0.15108,0,288.847711849266,0.0621848463006529,22.1538292601707,1.00346668145341,1.03953436560054,1.00957525277423,0.199147551929998,-0.405189486157642,1,NA
"mult","MSY-PA","GA","hr","all","one-way","rjc2",1,1,1,1.4,1,1.28,Inf,0,0.0054,0.50004,0.00084,0,287.84101658127,0.0660871697994115,24.9995682687171,0.999969388179585,1.10476889819128,1.1392588232822,0.275043066916913,-0.414332502026489,1,6.96194596793279e-12
"mult","MSY-PA","GA","hr","all","random","rjc2",1,1,1,1.4,1,0.12,Inf,0,0.05392,0.12996,0.0428,0,684.355335033394,0.00987207556115428,7.17660249335103,2.3774734879647,0.165029945656026,0.327045956308379,0.20104907103386,-2.4797324566124,1,0.228255853922218
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","rjc2",1,1,1,1.4,1,1.4,1.2,0.7,0.0066,0.49844,0.0014,0,288.085607022451,0.0658850462298564,24.8885313403515,1.00081910361183,1.10139003004011,1.13419874388439,0.2,-0.335017847508905,1,1.26854926354587e-11
"mult","MSY-PA","GA_cond_cap","hr","all","random","rjc2",1,1,1,1.4,1,0.03,1.2,0.7,0.0548,0.12556,0.0438,0,777.811506555678,0.00234682631274559,1.98438593366821,2.70214337611582,0.0392315290191371,0.0904307290201297,0.199999999999999,-3.15740474881242,1,0.345692101716734
"all","MSY-PA","GA","hr","all","one-way","rjc2",1,5,1,0.4,2,1.18,4.54,0.33,0.0154,0.51716,0.00332,0,284.774712953107,0.0656560635457673,24.40091954281,0.989316946079966,1.09756216226527,1.11197771843649,0.0712586042790305,-0.193919377668802,13,1.03324439439027e-09
"all","MSY-PA","GA","hr","all","random","rjc2",1,3,1,1.9,1,0.12,Inf,0.05,0.05272,0.12744,0.04188,0,689.736214698356,0.00962419447527259,7.2202769383474,2.39616684518789,0.160886156249351,0.329036250551833,0.074492550666506,-2.2695270868626,29,0.127903941560038
"all","MSY-PA","GA_cond_cap","hr","all","one-way","rjc2",0,4,1,0.6,1,1.14,1.2,0.7,0.01104,0.48208,0.0022,0,291.254561202897,0.0636522313205252,24.258330807556,1.01182815718809,1.06406441184926,1.10547978723253,0.0542023762916574,-0.171510320829084,24,1.16799527888949e-10
"all","MSY-PA","GA_cond_cap","hr","all","random","rjc2",1,4,1,1.9,1,0.11,1.2,0.7,0.05336,0.12824,0.04252,0,700.104286809756,0.00871582479960564,6.69302779422598,2.43218587697487,0.145701082220868,0.30500890603725,0.0611742342357513,-2.36280824783206,24,0.174457042658684
"none","MSY","GA","hr","all","one-way","smn",1,1,1,1.4,1,1,Inf,0,0.0612,0.215,0.00912,0,299.996308960876,0.0916463474621877,58.5089491300714,1.31663525266303,0.86218895837102,1.13401872315056,0.254160888951869,-0.766014864765464,NA,NA
"none","MSY","GA","hr","all","random","smn",1,1,1,1.4,1,1,Inf,0,0.45568,0.60356,0.3104,0.0382,180.397401905112,0.123302190117322,55.4631609586976,0.791735003873222,1.1600002597592,1.07498534681338,0.240897111554282,-0.979827454494443,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","smn",1,1,1,1.4,1,1,1.2,0.7,0.04144,0.1434,0.00508,0,335.789215754295,0.0807336253322681,55.9499118401568,1.4737245283369,0.759524435596997,1.08441953801476,0.2,-0.799584066351658,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","smn",1,1,1,1.4,1,1,1.2,0.7,0.38288,0.53816,0.24628,0.01992,210.643093049974,0.114392956595119,55.134496219317,0.924478447752316,1.07618412323983,1.06861517654646,0.2,-0.727016728794147,NA,NA
