"parameters","objective","scenario","catch_rule","stat_yrs","fhist","stock","idxB_lag","idxB_range_3","exp_b","comp_b_multiplier","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness","iter","risk_penalty"
"mult","MSY-PA","GA","hr","all","one-way","ang",1,1,1,1.4,1,1.17,Inf,0,0.04816,0.31204,0.01068,0,287.172152370842,0.101832632220687,66.567377145361,1.14332180851597,0.975025392823725,1.14737155989125,0.243626170523621,-0.547709584861909,1,0.0133900459310656
"mult","MSY-PA","GA","hr","all","random","ang",1,1,1,1.4,1,0.47,Inf,0,0.05144,0.11012,0.0322,0,495.897372858769,0.054296154105746,50.5384194555067,1.97432194067008,0.51987391302076,0.871092532885597,0.201850752867099,-1.37334845613833,1,0.0682682954867543
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","ang",1,1,1,1.4,1,1.23,1.2,0.7,0.04804,0.27084,0.01084,0,300.812467537859,0.097347087202694,66.1249751629579,1.19762815290462,0.932077271010287,1.13974621134342,0.2,-0.549986601551882,1,0.0126122373038484
"mult","MSY-PA","GA_cond_cap","hr","all","random","ang",1,1,1,1.4,1,0.5,1.2,0.7,0.05152,0.10916,0.03324,0,494.963434572513,0.0547488137605667,51.2474868227307,1.97060364137933,0.524208031152957,0.883314191092487,0.199304840079903,-1.3576090972302,1,0.0710148068634556
"all","MSY","GA","hr","all","one-way","ang",0,4,1,1,1,1.2,Inf,0.2,0.08832,0.46496,0.02024,0,257.743507494407,0.111166075605148,66.3548179751135,1.02615720462063,1.0643910912632,1.14370783815255,0.0610156024958044,-0.319200645268989,22,NA
"all","MSY","GA","hr","all","random","ang",0,4,1,0.8,1,0.84,Inf,0.6,0.28184,0.49784,0.18596,0,252.209484032847,0.115354282896866,61.6937251525778,1.00412453306733,1.10449226876183,1.06336810460841,0.0586908953352799,-0.408023533011022,42,NA
"all","MSY-PA","GA","hr","all","one-way","ang",0,3,1,1.4,1,1.15,Inf,0.39,0.04848,0.304,0.0106,0,289.465910609676,0.102082053022226,66.9695714119127,1.15245397469667,0.977413542964751,1.15430387843499,0.0890984909509984,-0.411562410506813,13,0.0157060664241471
"all","MSY-PA","GA","hr","all","random","ang",1,4,1,1.4,1,0.48,Inf,0.25,0.05008,0.10948,0.03196,0,492.696079569483,0.0556457332094717,52.1681077814928,1.96157659470641,0.532795840570519,0.899182238638012,0.0583295613718898,-1.1555443633291,14,0.0348204458888104
"all","MSY-PA","GA_cond_cap","hr","all","one-way","ang",0,3,1,1.3,1,1.05,1.2,0.7,0.04368,0.21272,0.01076,0,320.75898992431,0.0915558943783955,65.0822895332439,1.2770414729644,0.876627854302756,1.12177422733646,0.0859560249001667,-0.48620062870524,24,0.00142890350420939
"all","MSY-PA","GA_cond_cap","hr","all","random","ang",1,3,1,1.7,1,0.5,1.2,0.7,0.05076,0.11656,0.03212,0,478.69078179297,0.0578671094552491,53.1657427549125,1.90581714083719,0.554065036892131,0.916377718537349,0.0807268935658741,-1.11894964398847,29,0.0487833281227566
"none","MSY","GA","hr","all","one-way","ang2",1,1,1,1.4,1,1,Inf,0,0.02904,0.14792,0.00576,0,344.310095899442,0.097333902853757,63.6156690826499,1.38152579295064,0.800576915683532,1.09142332930019,0.220625639466303,-0.722614761717137,NA,NA
"none","MSY","GA","hr","all","random","ang2",1,1,1,1.4,1,1,Inf,0,0.44212,0.62904,0.32908,0,186.87629445423,0.156675791285113,59.7651375954781,0.749831108510274,1.28866734068777,1.02536161909725,0.230640919823412,-0.948291430410388,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","ang2",1,1,1,1.4,1,1,1.2,0.7,0.03008,0.119,0.00636,0,371.647496901243,0.0903612143683717,63.2453691884521,1.49121564824682,0.74322615425317,1.08507027274679,0.2,-0.806365920993604,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","ang2",1,1,1,1.4,1,1,1.2,0.7,0.37028,0.56644,0.26396,0,217.882371413682,0.142382977852441,60.7537299112281,0.874241329319502,1.17110813306449,1.0423224202982,0.2,-0.738361090978702,NA,NA
"none","MSY-PA","GA","hr","all","one-way","ang2",1,1,1,1.4,1,1,Inf,0,0.02904,0.14792,0.00576,0,344.310095899442,0.097333902853757,63.6156690826499,1.38152579295064,0.800576915683532,1.09142332930019,0.220625639466303,-0.693575708153335,NA,9.46436198059113e-07
"none","MSY-PA","GA","hr","all","random","ang2",1,1,1,1.4,1,1,Inf,0,0.44212,0.62904,0.32908,0,186.87629445423,0.156675791285113,59.7651375954781,0.749831108510274,1.28866734068777,1.02536161909725,0.230640919823412,-5.50617143041039,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","ang2",1,1,1,1.4,1,1,1.2,0.7,0.03008,0.119,0.00636,0,371.647496901243,0.0903612143683717,63.2453691884521,1.49121564824682,0.74322615425317,1.08507027274679,0.2,-0.776287512925252,NA,1.59193164829433e-06
"none","MSY-PA","GA_cond_cap","hr","all","random","ang2",1,1,1,1.4,1,1,1.2,0.7,0.37028,0.56644,0.26396,0,217.882371413682,0.142382977852441,60.7537299112281,0.874241329319502,1.17110813306449,1.0423224202982,0.2,-5.3680810909787,NA,5
"mult","MSY","GA","hr","all","one-way","ang2",1,1,1,1.4,1,1.33,Inf,0,0.06932,0.489,0.01276,0,250.858735528951,0.131059835060585,67.342521448755,1.00655722166639,1.07797463624203,1.15536313651876,0.245710486844771,-0.476950845029917,1,NA
"mult","MSY","GA","hr","all","random","ang2",1,1,1,1.4,1,0.82,Inf,0,0.28836,0.49608,0.18508,0,251.425900715423,0.130029006231295,61.047634346485,1.00883294155757,1.06949601018723,1.04736479683609,0.211347923603267,-0.55590566199693,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","ang2",1,1,1,1.4,1,1.47,1.2,0.7,0.08596,0.49556,0.01688,0,250.116110616365,0.130420749771275,67.0758839057761,1.00357747903483,1.07271812320008,1.15078856489087,0.2,-0.440326043925706,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","ang2",1,1,1,1.4,1,0.9,1.2,0.7,0.29648,0.4974,0.19732,0.00028,250.518416491534,0.130145624545395,61.3033072201887,1.00519170978154,1.07045520248793,1.0517512529255,0.2,-0.553422962707034,1,NA
"mult","MSY-PA","GA","hr","all","one-way","ang2",1,1,1,1.4,1,1.23,Inf,0,0.04716,0.35924,0.00924,0,274.975458408459,0.121138923438443,66.6648994649716,1.10332427873582,0.99637457095792,1.1437375032084,0.236317710050414,-0.491509532128021,1,0.00813004013338907
"mult","MSY-PA","GA","hr","all","random","ang2",1,1,1,1.4,1,0.47,Inf,0,0.05072,0.13844,0.03064,0,453.433024929956,0.0716387808289676,54.1468213724418,1.81937569294895,0.589233068004626,0.928970879431511,0.203009819008286,-1.14124122588618,1,0.0478265933604583
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","ang2",1,1,1,1.4,1,1.31,1.2,0.7,0.0478,0.33196,0.01028,0,284.321883990428,0.118002520038108,66.6758170349276,1.14082631009407,0.970577473677724,1.14392481068659,0.2,-0.495940363387046,1,0.0111892426063816
"mult","MSY-PA","GA_cond_cap","hr","all","random","ang2",1,1,1,1.4,1,0.5,1.2,0.7,0.05004,0.137,0.03068,0,454.199867944458,0.0714288441078912,54.7790117751449,1.82245260941551,0.587506326471405,0.939817065033574,0.199999999999999,-1.11677120649263,1,0.0341356621106907
"all","MSY","GA","hr","all","one-way","ang2",0,4,1,0.8,1,1.27,Inf,0.36,0.09992,0.48632,0.02204,0,251.767792891808,0.13085090497249,66.4066320642327,1.01020476557815,1.07625617432263,1.13930653407094,0.0642928821285443,-0.313724181777639,28,NA
"all","MSY","GA","hr","all","random","ang2",1,4,1,0.9,1,0.82,2.22,0.34,0.30084,0.49888,0.20616,0.00588,249.838454113647,0.129547702851369,61.1267279734081,1.0024633972096,1.06553726237058,1.04872176801736,0.0668324201305839,-0.418857585357552,37,NA
"all","MSY-PA","GA","hr","all","one-way","ang2",0,3,1,1.1,1,1.12,Inf,0.31,0.0464,0.27552,0.00944,0,297.94126187901,0.113442670772803,65.7095366472442,1.19547333340562,0.933072452777819,1.12734680446626,0.081000601598422,-0.409383419634597,39,0.00556268016430158
"all","MSY-PA","GA","hr","all","random","ang2",1,4,1,1.9,1,0.47,Inf,0.22,0.0474,0.13196,0.02716,0,460.756911858791,0.0702482147883707,55.4213596850169,1.84876239643903,0.577795582820167,0.950837518083445,0.0644384829697534,-0.971528056037803,59,0.00916469471246399
"all","MSY-PA","GA_cond_cap","hr","all","one-way","ang2",0,3,1,1.4,1,1.19,1.2,0.7,0.04648,0.31584,0.00996,0,285.33894090625,0.118387779276575,66.8799394535666,1.14490719641963,0.973746252939913,1.14742684050013,0.0951638393905645,-0.393287310898373,18,0.00578943458804806
"all","MSY-PA","GA_cond_cap","hr","all","random","ang2",1,3,1,1.6,1,0.47,1.2,0.7,0.04872,0.13192,0.0296,0,459.410963509044,0.0705457516267578,54.8786319386942,1.84336185087473,0.580242840326486,0.941526200096276,0.0846039156022588,-1.00414101748544,24,0.0177014511047325
"none","MSY","GA","hr","all","one-way","pol",1,1,1,1.4,1,1,Inf,0,0.03224,0.17116,0.01684,0,386.98402959793,0.0908404516489015,51.9667010114922,1.36198935287945,0.785984048804661,1.07624474738515,0.219519444198222,-0.689993544462818,NA,NA
"none","MSY","GA","hr","all","random","pol",1,1,1,1.4,1,1,Inf,0,0.41456,0.65756,0.35844,0.01456,199.343353747125,0.15282555083395,48.1445232924074,0.701588449665359,1.32230127685327,0.997086389943371,0.227788637014605,-0.943673797405874,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","pol",1,1,1,1.4,1,1,1.2,0.7,0.03392,0.14272,0.01828,0,415.857800586476,0.08412338935053,51.7313305722198,1.46361051979101,0.727865625508479,1.07137016050497,0.2,-0.768900680295977,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","pol",1,1,1,1.4,1,1,1.2,0.7,0.346,0.59708,0.29492,0.01208,231.634399786694,0.138695284973574,49.1478236070749,0.815236707824562,1.20004116728722,1.01786501688511,0.2,-0.748628309060548,NA,NA
"none","MSY-PA","GA","hr","all","one-way","pol",1,1,1,1.4,1,1,Inf,0,0.03224,0.17116,0.01684,0,386.98402959793,0.0908404516489015,51.9667010114922,1.36198935287945,0.785984048804661,1.07624474738515,0.219519444198222,-0.657758232188487,NA,4.687725668977e-06
"none","MSY-PA","GA","hr","all","random","pol",1,1,1,1.4,1,1,Inf,0,0.41456,0.65756,0.35844,0.01456,199.343353747125,0.15282555083395,48.1445232924074,0.701588449665359,1.32230127685327,0.997086389943371,0.227788637014605,-5.52911379740587,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","pol",1,1,1,1.4,1,1,1.2,0.7,0.03392,0.14272,0.01828,0,415.857800586476,0.08412338935053,51.7313305722198,1.46361051979101,0.727865625508479,1.07137016050497,0.2,-0.734991538775512,NA,1.08584795347974e-05
"none","MSY-PA","GA_cond_cap","hr","all","random","pol",1,1,1,1.4,1,1,1.2,0.7,0.346,0.59708,0.29492,0.01208,231.634399786694,0.138695284973574,49.1478236070749,0.815236707824562,1.20004116728722,1.01786501688511,0.2,-5.40262830906055,NA,5
"mult","MSY","GA","hr","all","one-way","pol",1,1,1,1.4,1,1,Inf,0,0.03224,0.17116,0.01684,0,386.98402959793,0.0908404516489015,51.9667010114922,1.36198935287945,0.785984048804661,1.07624474738515,0.219519444198222,-0.689993544462818,1,NA
"mult","MSY","GA","hr","all","random","pol",1,1,1,1.4,1,0.79,Inf,0,0.23356,0.49584,0.18512,0,286.343797067526,0.123072993954224,49.9445580988415,1.0077862987634,1.06487152288198,1.03436560851656,0.206952008018173,-0.482663915298138,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","pol",1,1,1,1.4,1,1.46,1.2,0.7,0.06648,0.50196,0.03516,0,283.660043394982,0.124070295746676,54.7362902437571,0.998340834226908,1.07350053436842,1.13360370621111,0.2,-0.401742871984206,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","pol",1,1,1,1.4,1,0.86,1.2,0.7,0.24292,0.501,0.1966,0.00168,283.66310145757,0.122855944414106,50.2310012446855,0.998351597070764,1.06299353269989,1.04029792527207,0.2,-0.484866328201309,1,NA
"mult","MSY-PA","GA","hr","all","one-way","pol",1,1,1,1.4,1,1.29,Inf,0,0.0488,0.44748,0.02576,0,294.946919711469,0.120324946147358,54.7488535486094,1.03806496802719,1.04109443126318,1.13386389572851,0.236804904256309,-0.427154967509198,1,0.0184211994971799
"mult","MSY-PA","GA","hr","all","random","pol",1,1,1,1.4,1,0.48,Inf,0,0.05064,0.16224,0.04052,0,480.949215496867,0.0699551489740588,45.2687646211637,1.69269959657777,0.605276946859267,0.937528632678987,0.202120508938485,-1.00325999967371,1,0.0459685268364403
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","pol",1,1,1,1.4,1,1.34,1.2,0.7,0.04924,0.38272,0.02668,0,312.130371755205,0.114201460519266,54.6346141178806,1.09854208578732,0.988111845428319,1.1314979655295,0.2,-0.452973487775347,1,0.02293343645852
"mult","MSY-PA","GA_cond_cap","hr","all","random","pol",1,1,1,1.4,1,0.51,1.2,0.7,0.0512,0.15904,0.04108,0,483.690573438592,0.0696714002967453,45.8211406548501,1.70234779919983,0.602821851907737,0.948968493075452,0.199999999999999,-1.01402148104574,1,0.0606421749213711
"all","MSY","GA","hr","all","one-way","pol",0,5,1,0.5,1,1.27,Inf,0,0.08812,0.49612,0.04956,0,285.100137340626,0.124079352023422,53.8685553516417,1.0034092413732,1.07357889251102,1.11563267665595,0.0545183096374348,-0.261680227666579,10,NA
"all","MSY","GA","hr","all","random","pol",0,5,1,0.6,1,0.79,Inf,0,0.24316,0.49608,0.19988,0.00468,286.162578069998,0.124778221713699,50.571745899799,1.00714849894146,1.07962576280701,1.0473548412996,0.0543982076434346,-0.352061547884488,10,NA
"all","MSY","GA_cond_cap","hr","all","one-way","pol",0,4,1,0.7,1,1.27,1.2,0.7,0.08724,0.49996,0.0482,0,284.136285150915,0.12442559445811,53.9236199190664,1.00001696593098,1.07657470578301,1.11677307907335,0.0662583517833622,-0.270288396787687,29,NA
"all","MSY","GA_cond_cap","hr","all","random","pol",1,4,1,1,1,0.8,1.2,0.7,0.25608,0.4998,0.21324,0.025,284.276555514446,0.119862128321534,49.6084231299275,1.00051064713496,1.03708996604975,1.02740416036487,0.0688675927101233,-0.35286240020995,18,NA
"all","MSY-PA","GA","hr","all","one-way","pol",0,2,1,1.3,1,1.22,Inf,0.07,0.04248,0.39028,0.02268,0,307.593806111152,0.116736593341606,54.553774721895,1.08257565401427,1.01004672051747,1.12982375928554,0.119491308977564,-0.332675022275708,13,0.000784299998334356
"all","MSY-PA","GA","hr","all","random","pol",0,5,1,0.1,1,0.46,Inf,0,0.04824,0.14424,0.0388,0,501.282292252233,0.0672592040037781,45.5742121986224,1.76426181086569,0.581950667601149,0.943854536468198,0.0513291441530229,-0.885671399645727,10,0.0139349810952114
"all","MSY-PA","GA_cond_cap","hr","all","one-way","pol",1,3,1,1.6,1,1.21,1.2,0.7,0.0468,0.32872,0.02548,0,327.855105222223,0.109676899484265,55.1166976499725,1.15388524705731,0.948963726536324,1.1414820487812,0.101915078708226,-0.404074974298876,15,0.00679259975214478
"all","MSY-PA","GA_cond_cap","hr","all","random","pol",1,3,1,1.5,1,0.46,1.2,0.7,0.04828,0.1414,0.03908,0,504.31035589753,0.0656755463578326,44.987914527048,1.77491907351558,0.568248295740521,0.931712149571316,0.0828683734435517,-0.940290983416226,26,0.0142156860284147
"none","MSY","GA","hr","all","one-way","had",1,1,1,1.4,1,1,Inf,0,0.04544,0.1952,0.0404,0,428.519813491826,0.111930260272982,46.3258454973676,1.38033660847121,0.745805325716913,1.05379365785607,0.2164070607134,-0.695977327040678,NA,NA
"none","MSY","GA","hr","all","random","had",1,1,1,1.4,1,1,Inf,0,0.4226,0.69224,0.40688,0.13576,200.498007648793,0.177335452419221,40.5637274738165,0.645838841448226,1.18160830261733,0.922720315020233,0.233065825122523,-1.08710666865406,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","had",1,1,1,1.4,1,1,1.2,0.7,0.04844,0.16752,0.0432,0,458.343795831192,0.103418492794274,46.2309978216385,1.47640482594282,0.689090354256991,1.05163611754412,0.2,-0.776480943486936,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","had",1,1,1,1.4,1,1,1.2,0.7,0.36184,0.61696,0.3484,0.14168,239.637637579514,0.152827306478806,41.1540751168677,0.77191437479441,1.01830746045694,0.93614920326822,0.2,-0.85377642193737,NA,NA
"none","MSY-PA","GA","hr","all","one-way","had",1,1,1,1.4,1,1,Inf,0,0.04544,0.1952,0.0404,0,428.519813491826,0.111930260272982,46.3258454973676,1.38033660847121,0.745805325716913,1.05379365785607,0.2164070607134,-0.653980881611044,NA,0.00344355457036627
"none","MSY-PA","GA","hr","all","random","had",1,1,1,1.4,1,1,Inf,0,0.4226,0.69224,0.40688,0.13576,200.498007648793,0.177335452419221,40.5637274738165,0.645838841448226,1.18160830261733,0.922720315020233,0.233065825122523,-5.66450666865406,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","had",1,1,1,1.4,1,1,1.2,0.7,0.04844,0.16752,0.0432,0,458.343795831192,0.103418492794274,46.2309978216385,1.47640482594282,0.689090354256991,1.05163611754412,0.2,-0.743436966594323,NA,0.0153960231073864
"none","MSY-PA","GA_cond_cap","hr","all","random","had",1,1,1,1.4,1,1,1.2,0.7,0.36184,0.61696,0.3484,0.14168,239.637637579514,0.152827306478806,41.1540751168677,0.77191437479441,1.01830746045694,0.93614920326822,0.2,-5.49193642193737,NA,5
"mult","MSY","GA","hr","all","one-way","had",1,1,1,1.4,1,1.38,Inf,0,0.07996,0.50192,0.06952,0,309.896439455476,0.159837758456109,48.2558420342264,0.998230155869876,1.06501897892928,1.09769610773886,0.230522023874492,-0.409947975743472,1,NA
"mult","MSY","GA","hr","all","random","had",1,1,1,1.4,1,0.74,Inf,0,0.2122,0.4982,0.1988,0.02112,311.240523943087,0.15475084184804,44.4321202615743,1.00255968501816,1.03112421723997,1.01071628664404,0.212506275343519,-0.437982247005718,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","had",1,1,1,1.4,1,1.52,1.2,0.7,0.09528,0.50176,0.08496,0,310.019177710887,0.158897854395043,48.4244074164778,0.998625517068754,1.05875628059644,1.10153053599037,0.2,-0.39818501892162,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","had",1,1,1,1.4,1,0.82,1.2,0.7,0.227,0.49916,0.21308,0.04548,311.147204785837,0.147303238835313,44.3220890946039,1.00225908783462,0.981499906734742,1.00821336101635,0.2,-0.437472448850972,1,NA
"mult","MSY-PA","GA","hr","all","one-way","had",1,1,1,1.4,1,1.11,Inf,0,0.05016,0.26076,0.04436,0,389.787477832633,0.125652464360162,47.347376360558,1.25557304058312,0.837238088080136,1.07703085371028,0.218384840493617,-0.587219932766176,1,0.0362311979791571
"mult","MSY-PA","GA","hr","all","random","had",1,1,1,1.4,1,0.44,Inf,0,0.04968,0.18188,0.04556,0,506.92728589815,0.0898659012641133,41.3366950040797,1.63290066999788,0.598787741578264,0.940303335305666,0.205054659621594,-0.926196598198924,1,0.0285446038851167
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","had",1,1,1,1.4,1,1.09,1.2,0.7,0.05096,0.20436,0.04572,0,427.057568434639,0.113431187034946,47.3083147612831,1.37562646364373,0.755806188484979,1.07614230294257,0.2,-0.705627416812006,1,0.0538586502257079
"mult","MSY-PA","GA_cond_cap","hr","all","random","had",1,1,1,1.4,1,0.46,1.2,0.7,0.05064,0.16612,0.04688,0,523.567394142693,0.0854248107218544,41.2717812925333,1.68650134342229,0.569196199752758,0.93882671557426,0.2,-0.993643154684474,1,0.0459685268364403
"all","MSY","GA","hr","all","one-way","had",0,4,1,0.7,1,1.34,Inf,0.36,0.10272,0.49344,0.09108,0,312.394555444327,0.160951523062579,48.2923211648043,1.0062770205493,1.07244013182462,1.09852591399569,0.0735054853993385,-0.28102841994433,37,NA
"all","MSY","GA","hr","all","random","had",0,4,1,0.9,1,0.74,Inf,0.63,0.22548,0.4984,0.21268,0.03868,311.24959044224,0.154852262957977,45.2300065571705,1.00258888978372,1.03179999878239,1.02886614465446,0.0732498294847088,-0.330184863922882,36,NA
"all","MSY-PA","GA","hr","all","one-way","had",0,2,1,1.3,1,1.07,Inf,0.06,0.04744,0.2412,0.0422,0,399.280125384905,0.12384695897954,47.7129508271626,1.28615050401695,0.825207779875778,1.08534673117017,0.118365971728803,-0.499212694551343,17,0.00934948763542024
"all","MSY-PA","GA","hr","all","random","had",0,2,1,0.7,1,0.42,Inf,0.23,0.04748,0.16544,0.04412,0,519.801948230154,0.088358193949451,41.2290767594875,1.67437218935135,0.588741699139382,0.937855297446814,0.110655530621432,-0.856710422047637,15,0.0095379995216691
"all","MSY-PA","GA_cond_cap","hr","all","one-way","had",0,2,1,1.4,1,1.13,1.2,0.7,0.05032,0.25728,0.04488,0,392.780731456702,0.126761307190514,48.2783182045566,1.26521482942382,0.844626446565524,1.09820738271922,0.137811685456668,-0.540459012751979,28,0.039225115152278
"all","MSY-PA","GA_cond_cap","hr","all","random","had",0,4,1,1.4,1,0.41,1.2,0.7,0.04872,0.15208,0.04584,0,540.274227376153,0.0824461727342587,40.9608824986899,1.74031694960362,0.549349162239277,0.931754568834792,0.0717662974168098,-0.898030129290366,24,0.0177014511047325
"none","MSY","GA","hr","all","one-way","nep",1,1,1,1.4,1,1,Inf,0,0.03396,0.17084,0.01892,0,397.700521441317,0.110842129280649,56.8171216107192,1.426114790949,0.742914245641546,1.06172611521892,0.2156321730175,-0.737433079185414,NA,NA
"none","MSY","GA","hr","all","random","nep",1,1,1,1.4,1,1,Inf,0,0.40516,0.6342,0.3524,0.0438,204.850370223719,0.179349812932098,52.495588971559,0.73457319555094,1.20208382719749,0.980970808883553,0.236066181222125,-0.925682176787632,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","nep",1,1,1,1.4,1,1,1.2,0.7,0.0364,0.14424,0.02156,0,426.072883442652,0.102808548183565,56.6632830870619,1.52785527888606,0.689069539848956,1.05885137652285,0.2,-0.823106655408904,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","nep",1,1,1,1.4,1,1,1.2,0.7,0.33612,0.55824,0.28584,0.06016,245.734130812261,0.153518769483728,53.1734596412606,0.881178323131949,1.02895245303387,0.99363799392144,0.2,-0.66130368294661,NA,NA
"none","MSY-PA","GA","hr","all","one-way","nep",1,1,1,1.4,1,1,Inf,0,0.03396,0.17084,0.01892,0,397.700521441317,0.110842129280649,56.8171216107192,1.426114790949,0.742914245641546,1.06172611521892,0.2156321730175,-0.703484157020301,NA,1.10778348860558e-05
"none","MSY-PA","GA","hr","all","random","nep",1,1,1,1.4,1,1,Inf,0,0.40516,0.6342,0.3524,0.0438,204.850370223719,0.179349812932098,52.495588971559,0.73457319555094,1.20208382719749,0.980970808883553,0.236066181222125,-5.52052217678763,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","nep",1,1,1,1.4,1,1,1.2,0.7,0.0364,0.14424,0.02156,0,426.072883442652,0.102808548183565,56.6632830870619,1.52785527888606,0.689069539848956,1.05885137652285,0.2,-0.78674417791689,NA,3.752250798555e-05
"none","MSY-PA","GA_cond_cap","hr","all","random","nep",1,1,1,1.4,1,1,1.2,0.7,0.33612,0.55824,0.28584,0.06016,245.734130812261,0.153518769483728,53.1734596412606,0.881178323131949,1.02895245303387,0.99363799392144,0.2,-5.32518368294661,NA,5
"mult","MSY","GA","hr","all","one-way","nep",1,1,1,1.4,1,1.43,Inf,0,0.09064,0.49508,0.0452,0,280.140832801023,0.156714518287066,59.5806005634122,1.00455735828161,1.05037181160178,1.11336649561401,0.234197883054714,-0.442761736950341,1,NA
"mult","MSY","GA","hr","all","random","nep",1,1,1,1.4,1,0.79,Inf,0,0.26056,0.49784,0.21224,0.00556,279.959521242179,0.155680887943745,54.3818959252232,1.00390719293885,1.04344395202561,1.01621971444667,0.216946130598246,-0.49763303798377,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","nep",1,1,1,1.4,1,1.59,1.2,0.7,0.10904,0.49956,0.06144,0,278.980783234691,0.156282718584332,59.3981850069807,1.00039753510918,1.04747769406265,1.10995774567042,0.2,-0.419395280779602,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","nep",1,1,1,1.4,1,0.89,1.2,0.7,0.2762,0.50124,0.22672,0.0388,278.271954472657,0.146881096869826,54.2380951016889,0.997855745176084,0.984463759296437,1.01353254752571,0.2,-0.491876802349627,1,NA
"mult","MSY-PA","GA","hr","all","one-way","nep",1,1,1,1.4,1,1.21,Inf,0,0.048,0.30668,0.02604,0,333.267118477322,0.133721316108846,58.8330968849369,1.19506297169286,0.896260937316202,1.09939809745937,0.222176042779868,-0.529000227715271,1,0.0123631157831738
"mult","MSY-PA","GA","hr","all","random","nep",1,1,1,1.4,1,0.44,Inf,0,0.05048,0.17416,0.03768,0,482.448031269717,0.0885397546727429,50.1111476946831,1.73001099109569,0.593433611198876,0.936413402557861,0.205956082236879,-1.04201798503293,1,0.0424643142582216
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","nep",1,1,1,1.4,1,1.23,1.2,0.7,0.04804,0.25332,0.02748,0,357.100262580253,0.125234622226799,58.9517880533908,1.28052627256264,0.839379264036469,1.10161604707774,0.2,-0.594754556944228,1,0.0126122373038484
"mult","MSY-PA","GA_cond_cap","hr","all","random","nep",1,1,1,1.4,1,0.46,1.2,0.7,0.05068,0.1582,0.03864,0,496.88264306248,0.0847509434347004,50.125980980711,1.78177208334838,0.568039279088369,0.936690588143893,0.2,-1.09196993951787,1,0.0468884443133842
"all","MSY","GA","hr","all","one-way","nep",0,3,1,0.7,1,1.39,Inf,0.37,0.1064,0.49088,0.05948,0,281.031019092248,0.159309930299179,59.4058904479128,1.00774947840259,1.06776744058889,1.11010173515167,0.0889746637101706,-0.313225877264432,33,NA
"all","MSY","GA","hr","all","random","nep",1,3,1,0.8,1,0.79,Inf,0.64,0.2904,0.49968,0.2454,0.08184,279.129977395803,0.140641854150963,53.7759871725523,1.00093253063575,0.942645523505219,1.00489726220141,0.0917624792945504,-0.387992272131709,35,NA
"all","MSY-PA","GA","hr","all","one-way","nep",1,1,1,1.4,1,1.21,Inf,0,0.048,0.30668,0.02604,0,333.267118477322,0.133721316108846,58.8330968849369,1.19506297169286,0.896260937316202,1.09939809745937,0.222176042779868,-0.529000227715271,10,0.0123631157831738
"all","MSY-PA","GA","hr","all","random","nep",0,2,1,0.9,1,0.42,Inf,0.16,0.0466,0.15916,0.03488,0,494.662515191634,0.0869993094547007,50.1884164917895,1.77381092407472,0.583108848362389,0.937857303576668,0.111507150230482,-0.953607763834923,33,0.0061469931063871
"all","MSY-PA","GA_cond_cap","hr","all","one-way","nep",0,4,1,1.5,1,1.14,1.2,0.7,0.04788,0.25524,0.02852,0,356.088556404218,0.126998663847345,59.5407962705542,1.27689839413667,0.851202671420588,1.11262268360758,0.080680786488487,-0.481846684990465,24,0.0116448207577337
"all","MSY-PA","GA_cond_cap","hr","all","random","nep",0,4,1,1.4,1,0.42,1.2,0.7,0.049,0.15468,0.03724,0,504.24114190651,0.0843123250178147,50.1693761313418,1.80815893344006,0.565099459432974,0.937501501533949,0.0718604473752779,-0.962868567860866,14,0.0203506885794806
