"lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","stock","fhist"
1,2,3,1,1,1,1,2,0.4,Inf,0,0.0092,0.11244,0.00876,0,946.738653507185,5.94728673323326e-09,5.99774271013285e-06,2.92512942088042,7.70883480462933e-08,2.35809847462527e-07,0.673433759029998,"meg","one-way"
1,2,3,1,1,1,1,2,0.41,Inf,0,0.00924,0.11292,0.0088,0,946.35549998912,8.17284153762537e-09,8.25374251736721e-06,2.92394559509676,1.05935846250539e-07,3.24507711997573e-07,0.665286808645155,"meg","one-way"
1,2,3,1,1,1,1,2,0.42,Inf,0,0.0094,0.11332,0.00888,0,946.026026610035,1.11074381726817e-08,1.1361939565021e-05,2.92292762432839,1.43973899051083e-07,4.46710931961053e-07,0.657228421546207,"meg","one-way"
1,2,3,1,1,1,1,2,0.43,Inf,0,0.00944,0.11352,0.00896,0,945.718666010695,1.5044502803871e-08,1.52548331794302e-05,2.92197797520546,1.95005877528582e-07,5.99765621661363e-07,0.649164595017919,"meg","one-way"
1,2,3,1,1,1,1,2,0.44,Inf,0,0.00956,0.11416,0.00916,0,945.354932322216,2.00302296582411e-08,2.03013003244001e-05,2.92085415068472,2.59630548282347e-07,7.98174707411163e-07,0.641029425346946,"meg","one-way"
1,2,3,1,1,1,1,2,0.45,Inf,0,0.0096,0.11464,0.00916,0,945.015809348813,2.6637909910926e-08,2.70075201689965e-05,2.91980636565649,3.45278874644555e-07,1.06183934843232e-06,0.632890928810916,"meg","one-way"
1,2,3,1,1,1,1,2,0.46,Inf,0,0.0098,0.11512,0.0092,0,944.658836163241,3.51577688469803e-08,3.57008556168527e-05,2.91870342899735,4.55712738089846e-07,1.4036302862857e-06,0.624761347534027,"meg","one-way"
1,2,3,1,1,1,1,2,0.47,Inf,0,0.00988,0.11572,0.00932,0,944.25230303677,4.59279956248463e-08,4.67293649623681e-05,2.91744736745977,5.9531572473419e-07,1.83723193146988e-06,0.616661098331661,"meg","one-way"
1,2,3,1,1,1,1,2,0.48,Inf,0,0.01004,0.11632,0.00948,0,943.81492991453,5.99551773836656e-08,6.13768271895235e-05,2.91609601988034,7.77135152321231e-07,2.41311789397762e-06,0.608608408698821,"meg","one-way"
1,2,3,1,1,1,1,2,0.49,Inf,0,0.01012,0.11668,0.00952,0,943.495978839184,7.74567760736736e-08,7.98715345472647e-05,2.91511055977384,1.00398974866056e-06,3.14026381064473e-06,0.600476080500265,"meg","one-way"
1,2,3,1,1,1,1,2,0.5,Inf,0,0.0102,0.11716,0.00964,0,943.081218699098,1.00124459112276e-07,0.000102343141012774,2.91382907931049,1.29780679799137e-06,4.02376721333608e-06,0.592349400511573,"meg","one-way"
1,2,3,1,1,1,1,2,0.51,Inf,0,0.01024,0.11772,0.0098,0,942.659387854855,1.30197687083131e-07,0.000131600011622874,2.91252575255969,1.68761404433418e-06,5.17404299694767e-06,0.584248128790902,"meg","one-way"
1,2,3,1,1,1,1,2,0.52,Inf,0,0.0104,0.11812,0.00996,0,942.234905531652,1.67430133968004e-07,0.000169252146730393,2.91121423355955,2.17021862568684e-06,6.65439063195748e-06,0.576233593894187,"meg","one-way"
1,2,3,1,1,1,1,2,0.53,Inf,0,0.01052,0.11852,0.01,0,941.804990871852,2.12859448568397e-07,0.000213666002090867,2.90988593032064,2.75907047906229e-06,8.40058498605709e-06,0.568326473249091,"meg","one-way"
1,2,3,1,1,1,1,2,0.54,Inf,0,0.01068,0.119,0.01016,0,941.427084232867,2.69220557582605e-07,0.000269497462180089,2.90871831576942,3.48961954838558e-06,1.05956788277797e-05,0.560303031586814,"meg","one-way"
1,2,3,1,1,1,1,2,0.55,Inf,0,0.01092,0.11924,0.01024,0,941.061908626857,3.39180702088568e-07,0.000341694325687177,2.90759003616979,4.39643844092494e-06,1.34342019511736e-05,0.552231364060035,"meg","one-way"
